"dte","collectionid","collectionname","marketcupusd"
2021-04-30,504,BoredApeYachtClub,439.52
2021-05-01,504,BoredApeYachtClub,1416202.0687037518
2021-05-02,504,BoredApeYachtClub,4256936.197339389
2021-05-03,504,BoredApeYachtClub,3483296.2647099993
2021-05-04,504,BoredApeYachtClub,1161868.0765489377
2021-05-05,504,BoredApeYachtClub,611240.3614000004
2021-05-06,504,BoredApeYachtClub,529983.9087575
2021-05-07,504,BoredApeYachtClub,331017.8682
2021-05-08,504,BoredApeYachtClub,271970.149109375
2021-05-09,504,BoredApeYachtClub,373943.0113
2021-05-10,504,BoredApeYachtClub,154625.08289999995
2021-05-11,504,BoredApeYachtClub,69227.07430000002
2021-05-12,504,BoredApeYachtClub,87272.99319999998
2021-05-13,504,BoredApeYachtClub,77326.76339999998
2021-05-14,504,BoredApeYachtClub,83658.915325
2021-05-15,504,BoredApeYachtClub,226386.84620000003
2021-05-16,504,BoredApeYachtClub,233989.3258000001
2021-05-17,504,BoredApeYachtClub,117755.89060000001
2021-05-18,504,BoredApeYachtClub,122490.06000599999
2021-05-19,504,BoredApeYachtClub,71908.01629999999
2021-05-20,504,BoredApeYachtClub,125740.9247
2021-05-21,504,BoredApeYachtClub,137384.76220000006
2021-05-22,504,BoredApeYachtClub,106137.20929999999
2021-05-23,504,BoredApeYachtClub,70014.5672
2021-05-24,504,BoredApeYachtClub,120938.66890000005
2021-05-25,504,BoredApeYachtClub,136461.0138
2021-05-26,504,BoredApeYachtClub,88864.64910000004
2021-05-27,504,BoredApeYachtClub,140401.0335
2021-05-28,504,BoredApeYachtClub,206171.4938320001
2021-05-29,504,BoredApeYachtClub,220997.3599700001
2021-05-30,504,BoredApeYachtClub,1228584.738600001
2021-05-31,504,BoredApeYachtClub,1283468.3494000009
2021-06-01,504,BoredApeYachtClub,2091727.4177000013
2021-06-02,504,BoredApeYachtClub,1151003.584414599
2021-06-03,504,BoredApeYachtClub,809570.5096931247
2021-06-04,504,BoredApeYachtClub,466449.4174999998
2021-06-05,504,BoredApeYachtClub,1143607.9298999999
2021-06-06,504,BoredApeYachtClub,1455009.6606000005
2021-06-07,504,BoredApeYachtClub,3097223.1808226234
2021-06-08,504,BoredApeYachtClub,1960655.0348999992
2021-06-09,504,BoredApeYachtClub,1044206.0303025001
2021-06-10,504,BoredApeYachtClub,806989.3788999995
2021-06-11,504,BoredApeYachtClub,703388.7957499997
2021-06-12,504,BoredApeYachtClub,463889.3294999999
2021-06-13,504,BoredApeYachtClub,633042.2048999997
2021-06-14,504,BoredApeYachtClub,619364.3799
2021-06-15,504,BoredApeYachtClub,1799669.8960999988
2021-06-16,504,BoredApeYachtClub,1312457.5298
2021-06-17,504,BoredApeYachtClub,1766553.1724585993
2021-06-18,504,BoredApeYachtClub,1263979.2694
2021-06-19,504,BoredApeYachtClub,4258992.758860344
2021-06-20,504,BoredApeYachtClub,5477899.830759804
2021-06-21,504,BoredApeYachtClub,3996665.683100001
2021-06-22,504,BoredApeYachtClub,1356677.8554
2021-06-23,504,BoredApeYachtClub,1174922.2493000005
2021-06-24,504,BoredApeYachtClub,1307485.3748944297
2021-06-25,504,BoredApeYachtClub,1101040.1142000002
2021-06-26,504,BoredApeYachtClub,960138.381
2021-06-27,504,BoredApeYachtClub,594184.6095
2021-06-28,504,BoredApeYachtClub,500475.20469999994
2021-06-29,504,BoredApeYachtClub,662227.3179000001
2021-06-30,504,BoredApeYachtClub,492514.4149543866
2021-07-01,504,BoredApeYachtClub,544586.4772000002
2021-07-02,504,BoredApeYachtClub,255525.80074999997
2021-07-03,504,BoredApeYachtClub,243323.54199999996
2021-07-04,504,BoredApeYachtClub,449815.7677999999
2021-07-05,504,BoredApeYachtClub,422866.6694
2021-07-06,504,BoredApeYachtClub,343805.80600000004
2021-07-07,504,BoredApeYachtClub,535010.9788000002
2021-07-08,504,BoredApeYachtClub,393218.742
2021-07-09,504,BoredApeYachtClub,557221.9574000001
